Strain,Phage,day,temperature,ph,inoculum,milk_batch,(milk_batch-21),milk_age ,milk_apc,cheese_make,cheese_plate,rep,count,experiment
5624,N,14,6,5.5,7.92E+03,7/17/17,6/26/17,10,0,7/6/17,e,2,343000,3.2
5625,N,14,6,5.5,4.10E+05,7/17/17,6/26/17,10,0,7/6/17,e,2,32100,3.2
10403S,Y,14,6,5.5,3.80E+05,7/17/17,6/26/17,10,0,7/6/17,f,2,45250,3.2
5621,Y,14,6,5.5,3.19E+05,7/17/17,6/26/17,10,0,7/6/17,f,2,6540,3.2
5623,Y,14,6,5.5,3.13E+05,7/17/17,6/26/17,10,0,7/6/17,f,2,183500,3.2
5624,Y,14,6,5.5,6.49E+03,7/17/17,6/26/17,10,0,7/6/17,f,2,259000,3.2
5625,Y,14,6,5.5,3.32E+05,7/17/17,6/26/17,10,0,7/6/17,f,2,257000,3.2
10403S,N,1,14,6.5,1.76E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,a,1,121500,4.1
5621,N,1,14,6.5,3.56E+04,7/10/17,6/19/17,7,2.04E+01,6/26/17,a,1,2370000,4.1
5623,N,1,14,6.5,1.15E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,a,1,6445000,4.1
5624,N,1,14,6.5,1.70E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,a,1,3420000,4.1
5625,N,1,14,6.5,1.44E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,a,1,3945000,4.1
10403S,Y,1,14,6.5,1.86E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,b,1,52400,4.1
5621,Y,1,14,6.5,3.80E+04,7/10/17,6/19/17,7,2.04E+01,6/26/17,b,1,25850,4.1
5623,Y,1,14,6.5,1.13E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,b,1,2370000,4.1
5624,Y,1,14,6.5,1.78E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,b,1,44600,4.1
